Country;Articles;Freq;SCP;MCP;MCP_Ratio
CHINA;272;0,30055;229;43;0,158
USA;136;0,15028;107;29;0,213
UNITED KINGDOM;53;0,05856;35;18;0,34
KOREA;50;0,05525;43;7;0,14
ITALY;42;0,04641;29;13;0,31
GERMANY;32;0,03536;20;12;0,375
FRANCE;26;0,02873;17;9;0,346
TAIWAN;25;0,02762;17;8;0,32
HONG KONG;22;0,02431;16;6;0,273
JAPAN;22;0,02431;17;5;0,227
SINGAPORE;22;0,02431;14;8;0,364
SWITZERLAND;19;0,02099;9;10;0,526
AUSTRALIA;15;0,01657;9;6;0,4
CANADA;15;0,01657;5;10;0,667
SPAIN;13;0,01436;8;5;0,385
SAUDI ARABIA;12;0,01326;4;8;0,667
INDIA;11;0,01215;9;2;0,182
MEXICO;9;0,00994;7;2;0,222
NETHERLANDS;8;0,00884;4;4;0,5
BRAZIL;7;0,00773;7;0;0
