Description;Results
Documents;2092
Sources (Journals, Books, etc.);794
Keywords Plus (ID);7705
Author's Keywords (DE);3453
Period;2020
Average citations per documents;2,01
Authors;8426
Author Appearances;12927
Authors of single-authored documents;247
Authors of multi-authored documents;8179
Single-authored documents;350
Documents per Author;0,25
Authors per Document;4,03
Co-Authors per Documents;6,18
Collaboration Index;4,70
;
Document types;
ARTICLE;1034
BOOK CHAPTER;22
CONFERENCE PAPER;3
DATA PAPER;2
EDITORIAL;193
ERRATUM;10
LETTER;273
NOTE;249
REVIEW;280
SHORT SURVEY;26
